review,sentiment
"Jeden z pozostałych recenzentów wspomniał, że po obejrzeniu zaledwie 1 odcinka Oz zostaniesz uzależniony.Mają rację, ponieważ właśnie tak się ze mną stało. <br /> <br /> Pierwszą rzeczą, która uderzyła mnie w Oz, była jego brutalność i niezachwiane sceny przemocy, które wynikają z tego słowa.Zaufaj mi, to nie jest program dla słabych lub nieśmiałych.Ten program nie wyciąga ciosów w odniesieniu do narkotyków, seksu lub przemocy.Jest to hardcore, w klasycznym użyciu tego słowa. <br /> <br /> Nazywa się OZ, ponieważ jest to pseudonim przekazany maksymalnym stanie bezpieczeństwa Oswald.Koncentruje się głównie na Emerald City, eksperymentalnym odcinku więzienia, w którym wszystkie komórki mają szklane fronty i twarz do wewnątrz, więc prywatność nie jest wysoka w porządku obrad.Em City jest domem dla wielu… araryjczyków, muzułmanów, gangstas, latynoskich, chrześcijan, Włochów, Irlandczyków i innych ... więc szorki, spojrzenia śmierci, podejrzane transakcje i zacienione umowy nigdy nie są daleko. <br /> <BR / /BR /> Powiedziałbym, że główny urok tego programu wynika z faktu, że idzie tam, gdzie inne programy nie odważyłyby się.Zapomnij o ładnych zdjęciach namalowanych dla głównego nurtu odbiorców, zapomnij o uroku, zapomnij o romansie ... Oz nie zadziwia.Pierwszy odcinek, który widziałem, że uderzył mnie tak paskudnego, że był surrealistyczny, nie mogłem powiedzieć, że jestem na to gotowy, ale kiedy oglądałem więcej, poczułem smak Oz i przyzwyczaiłem się do wysokiego poziomu przemocy graficznej.Nie tylko przemoc, ale niesprawiedliwość (krzywy strażnicy, którzy zostaną wyprzedani za nikiel, więźniowie, którzy zabiją na zamówienie i uciekają, dobrze wychowani więźniowie z klasy średniej zamienili się w suki więzienne z powodu braku umiejętności ulicznych umiejętności ulicznychlub doświadczenie więzienne) oglądanie Oz, możesz poczuć się komfortowo z tym, co niewygodne oglądanie ... to jeśli możesz skontaktować się z ciemniejszą stroną.",positive
"Wspaniała mała produkcja.<br /> <br /> Technika filmowania jest bardzo skromna-bardzo dawna moda BBC i daje pocieszające, a czasem niewygodne poczucie realizmu dla całego utworu.<br /> <br /> Aktorzy są wyjątkowo dobrze wybrani- Michael Sheen nie tylko „ma całą Polari”, ale on też ma wszystkie głosy!Możesz naprawdę zobaczyć bezproblemową edycję kierowaną od odniesień do wpisów dziennika Williamsa, nie tylko warto oglądać, ale jest to wspaniały i wykonany utwór.Mistrzowska produkcja o jednym z wielkich mistrzów komedii i jego życia.<br /> <br /> Realizm naprawdę wraca do domu z małymi rzeczami: fantazja strażnika, która zamiast używać tradycyjnych technik „snów”, pozostaje solidna, a następnie znika.Gra naszą wiedzę i zmysły, szczególnie w scenach dotyczących Ortona i Halliwella oraz zestawów (szczególnie ich mieszkania z malowidłem ściennym Halliwella dekorującym każdą powierzchnię) są strasznie dobrze wykonane.",positive
"Pomyślałem, że to wspaniały sposób na spędzenie czasu na zbyt gorący letni weekend, siedząc w klimatyzowanym teatrze i oglądając beztroską komedię.Fabuła jest uproszczona, ale dialog jest dowcipny, a bohaterowie są sympatyczni (nawet podejrzany o chleb seryjny).Chociaż niektórzy mogą być rozczarowani, gdy zdają sobie sprawę, że nie jest to punkt 2: uzależnienie od ryzyka, pomyślałem, że to dowód, że Woody Allen wciąż kontroluje styl, którego wielu z nas pokochało. <br /> <br />To był najbardziej śmiałem się z jednej z komedii Woody'ego od lat (śmiem powiedzieć dekadę?).Chociaż nigdy nie była pod wrażeniem Scarlet Johanson, w tym udało jej się stonować swój „seksowny” wizerunek i wskoczyła w przeciętną, ale porywającą młodą kobietę. <br /> <br /> To może nie być klejnot koronnyjego kariery, ale było bardziej dowcipne niż „Devil Wears Prada” i bardziej interesujące niż „Superman”, świetna komedia, aby zobaczyć się z przyjaciółmi.",positive
"Zasadniczo jest rodzina, w której mały chłopiec (Jake) myśli, że w jego szafie jest zombie, a jego rodzice cały czas walczą. <br /> <br /> Ten film jest wolniejszy niż opena mydlana ... i nagle Jake, JakePostanawia zostać Rambo i zabić zombie. <br /> <br /> OK, po pierwsze, kiedy zamierzasz nakręcić film, musisz zdecydować, czy to thriller, czy dramat!Jako dramat można oglądać film.Rodzice rozwodzą się i kłócą jak w prawdziwym życiu.A potem mamy Jake'a z jego szafą, która całkowicie rujnuje cały film!Spodziewałem się, że zobaczę podobny film Boogeyman, a zamiast tego obejrzałem dramat z kilkoma bezsensownymi plamami thrillera. <br /> <br /> 3 na 10 tylko dla dobrze grających dialogów rodziców i pochodzenia.Jeśli chodzi o ujęcia z Jake'em: po prostu je zignoruj.",negative
"„Love in the Money” Pettera Mattei to oszałamiający wizualnie film do obejrzenia.Pan Mattei oferuje nam żywy portret na temat relacji międzyludzkich.To film, który wydaje się nam mówić, jakie pieniądze, moc i sukces robią ludziom w różnych sytuacjach, które napotykamy.<br /> <br /> To jest odmiana sztuki Arthura Schnitzlera na ten sam temat, reżyser przenosi akcję do obecnego Nowego Jorku, w którym wszystkie te różne postacie spotykają się i łączą.Każdy z nich jest podłączony w jeden sposób, a drugą z następną osobą, ale wydaje się, że nikt nie zna poprzedniego punktu kontaktowego.Stylowo film ma wyrafinowany luksusowy wygląd.Zajmuje się, jak żyją ci ludzie, a świat, w którym żyją we własnym siedlisku. <br /> <br /> Jedyną rzeczą, którą wyciąga się z tych dusz na zdjęciu, to różne etapy samotności, które zamieszkuje.Duże miasto nie jest najlepszym miejscem, w którym stosunki międzyludzkie uważają za szczere spełnienie, ponieważ jeden rozeznaj się, jest w przypadku większości ludzi, których spotykamy. <br /> <br /> Działanie jest dobre pod kierunkiem pana Mattei.Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier i reszta utalentowanej obsady, sprawiają, że te postacie ożywają. <br /> <br /> Życzymy panu Mattei Powodzenia i z niepokojem oczekiwania na jego następnypraca.",positive
"Prawdopodobnie mój ulubiony film, historia bezinteresowności, poświęcenia i poświęcenia w szlachetnej sprawie, ale nie jest to kaznodzieja ani nudna.Po prostu nigdy się nie starzeje, mimo że widziałem to około 15 lub więcej razy w ciągu ostatnich 25 lat.Występ Paula Lukasa przynosi mi łzy w moich oczach, a Bette Davis, w jednej z niewielu prawdziwie sympatycznych ról, jest rozkoszą.Dzieci, jak mówi babcia, bardziej jak „ubrane karły” niż dzieci, ale to tylko sprawia, że są przyjemniejsze do oglądania.A powolne przebudzenie matki do tego, co dzieje się na świecie i pod jej własnym dachem, jest wiarygodne i zaskakujące.Gdybym miał tuzin kciuków, wszyscy byliby „w górę” do tego filmu.",positive
"Na pewno chciałbym zobaczyć zmartwychwstanie z datowanej serii Seahunt z technologią, którą mają dzisiaj, przywróciłby mi emocje dla dzieci. Wyrosłem na czarno -białą telewizję i morską z Gunsmoke były moim bohaterem co tydzień.mój głos na powrót nowego polowania na morze. Potrzebujemy zmiany tempa w telewizji, a to zadziałałoby dla świata pod wodą w Water Adventure.wiele filmów. Więc w każdym ole, jak sądzę, mam to, co chcę powiedzieć. Byłoby miło przeczytać więcej plus punkty o polowaniu na morze. Gdyby moje rymy byłyby 10 linii, pozwoliłbyś mi się poddać, czy pominę mnie, że będęW wątpliwości i mam mnie rzucić, jeśli tak jest, muszę iść, więc zróbmy to.",positive
"Ten program był niesamowitym, świeżym i innowacyjnym pomysłem w latach 70 -tych, kiedy po raz pierwszy wyemitował.Pierwsze 7 lub 8 lat były genialne, ale potem rzeczy spadły.Do 1990 r. Program nie był już naprawdę zabawny i kontynuował spadek do całkowitej straty czasu, w którym jest dzisiaj. <br /> <br /> To naprawdę haniebne, jak daleko ten program się upadł.Pisanie jest boleśnie złe, występy są prawie tak złe - jeśli nie dla lekko zabawnego wytchnienia dla osób hostów, ten program prawdopodobnie nie byłby w powietrzu.Trudno mi uwierzyć, że ten sam twórca, który ręcznie wybrał oryginalną obsadę, wybrał również zespół hacków.Jak można rozpoznać taki błyskotliwość, a następnie uznać za stosowne, aby zastąpić ją taką przeciętnością?Czułem, że muszę dać 2 gwiazdki z szacunku dla oryginalnej obsady, która sprawiła, że ten program był wielkim sukcesem.W tej chwili serial jest po prostu okropny.Nie mogę uwierzyć, że wciąż jest na antenie.",negative
"Zachęcony pozytywnymi komentarzami na temat tego filmu tutaj nie mogłem się doczekać, aby obejrzeć ten film.Zły błąd.Widziałem ponad 950 filmów i to jest naprawdę jeden z najgorszych z nich - jest to okropne pod każdym względem: edycja, tempo, fabuła, ścieżka dźwiękowa „Acting” (jedyna piosenka filmu - lame country tune - jest odtwarzana no nie jest odtwarzanaMniej niż cztery razy).Film wygląda tanio i paskudny i jest nudny.Rzadko byłem bardzo szczęśliwy, widząc kredyty końcowe filmu.<br /> <br /> Jedyną rzeczą, która uniemożliwia mi podanie temu 1 wynik, jest Harvey Keitel - choć jest to dalekie od jego najlepszego występu, przynajmniej wydaje się podejmować wysiłek.Jeden tylko dla obsesji Keitel.",negative
"Jeśli lubisz oryginalny śmiech jelit, spodoba ci się ten film.Jeśli jesteś młody lub stary, pokochasz ten film, do diabła, nawet moja mama lubiła. <br /> <br /> świetny obóz !!!",positive
